"","gene_id","gene_short_name","gene_name","X4","chromosome","start","end","X8","X9","X10","X11","WT_mean_FPKM","WT_se_FPKM","Ref5_mean_FPKM","Ref5_se_FPKM","Ref2_mean_FPKM","Ref2_se_FPKM","Med5_mean_FPKM","Med5_se_FPKM","Ref5Med5_mean_FPKM","Ref5Med5_se_FPKM","Ref2Med5_mean_FPKM","Ref2Med5_se_FPKM"
"11","AT1G13245","RTFL17","ROTUNDIFOLIA like 17",791,"Chr1",4525414,4526204,"ROTUNDIFOLIA like 17;(source:Araport11)","","ROTUNDIFOLIA like 17","DVL4, RTFL17",54.975,1.151,79.07,6.864,65.015,4.829,48.393,2.545,65.053,2.557,65.009,3.292
"12","AT1G13635","AT1G13635","",2333,"Chr1",4674152,4676484,"DNA glycosylase superfamily protein;(source:Araport11)","","DNA glycosylase superfamily protein","",0.523,0.15,1.11,0.112,0.286,0.037,0.586,0.067,1.045,0.066,0.647,0.022
"13","AT1G14120","AT1G14120","",1694,"Chr1",4833396,4835089,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)","DAO2 is an IAA oxidase expressed in root caps. it is a member of a family of dioxygenase and 2OG Fe(II) oxygenase domain and DAO domain containing proteins. It is expressed specifically in root cap cells and does not appear to be the major IAA oxidase in planta.","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","AtDAO2",1.97,0.697,5.505,0.142,1.978,0.719,0.646,0.166,4.645,0.271,1.677,0.368
"14","AT1G14240","AT1G14240","",3131,"Chr1",4864881,4868011,"GDA1/CD39 nucleoside phosphatase family protein;(source:Araport11)","","GDA1/CD39 nucleoside phosphatase family protein","APY3",0.217,0.069,2.224,0.537,0.212,0.036,0.177,0.051,0.606,0.175,0.118,0.023
"15","AT1G16850","AT1G16850","",992,"Chr1",5764807,5765798,"transmembrane protein;(source:Araport11)","","","",0.977,0.122,3.808,0.806,1.038,0.137,0.846,0.162,1.787,0.192,0.461,0.054
"16","AT1G18100","E12A11","",2978,"Chr1",6227217,6230194,"PEBP (phosphatidylethanolamine-binding protein) family protein;(source:Araport11)","Encodes a member of the FT and TFL1 family of phosphatidylethanolamine-binding proteins. It is expressed in seeds and up-regulated in response to ABA. Loss of function mutants show decreased rate of germination in the presence of ABA. ABA dependent regulation is mediated by both ABI3 and ABI5. ABI5 promotes MFT expression, primarily in the radicle-hypocotyl transition zone and ABI3 suppresses it in the seed.","PEBP (phosphatidylethanolamine-binding protein) family protein","E12A11, MFT",3.4,0.133,4.008,0.735,3.232,0.127,2.913,0.219,3.647,0.23,3.389,0.121
"17","AT1G18880","NRT1.9","nitrate transporter 1.9",2648,"Chr1",6520721,6523368,"Major facilitator superfamily protein;(source:Araport11)","Encodes a low-af&#64257;nity plasma membrane nitrate transporter expressed in the companion cells of root phloem.","Major facilitator superfamily protein","AtNPF2.9, NPF2.9, NRT1.9",2.513,0.202,3.86,0.574,1.601,0.347,2.233,0.166,4.41,0.619,2.265,0.131
"18","AT1G19630","CYP722A1","cytochrome P450, family 722, subfamily A, polypeptide 1",4373,"Chr1",6783803,6788175,"cytochrome P450, family 722, subfamily A, polypeptide 1;(source:Araport11)","","cytochrome P450, family 722, subfamily A, polypeptide 1","CYP722A1",1.197,0.046,2.736,0.296,0.672,0.067,0.81,0.129,1.531,0.114,0.391,0.035
"19","AT1G20160","ATSBT5.2","",3348,"Chr1",6990642,6993989,"Subtilisin-like serine endopeptidase family protein;(source:Araport11)","Encodes two isoforms. One (SBT5.2(a) ) is a secreted, cell wall localized subtilisin-like serine protease that is involved in regulation of stomatal development. The second isoform (SBT5.2(b) is localized to endosomes.","Subtilisin-like serine endopeptidase family protein","ATSBT5.2, CRSP, SBT5.2(a), SBT5.2(b)",8.001,0.623,12.257,1.546,4.031,0.599,4.817,0.686,7.198,0.231,3.003,0.304
"20","AT1G21400","AT1G21400","",3529,"Chr1",7493213,7496741,"Thiamin diphosphate-binding fold (THDP-binding) superfamily protein;(source:Araport11)","","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein","",10.54,1.278,17.146,0.927,10.396,0.226,9.047,0.844,13.329,0.675,12.553,0.463
"21","AT1G21410","SKP2A","",2619,"Chr1",7496998,7499616,"F-box/RNI-like superfamily protein;(source:Araport11)","AtSKP2;1 is a homolog of human SKP2, the human F-box protein that recruits E2F1.  Contains an F-box motif at the N-terminal region and a C-terminal Leu-rich repeat domain.  Forms part of an E3-ubiquitin-ligase SCF (Skp1, cullin, F-box) complex and recruits phosphorylated AtE2Fc, a transcriptional factor that might play a role in cell division and during the transition from skotomorphogenesis to photomorphogenesis.  AtSKP2;1 (At1g21410) and AtSKP2;2 (At1g77000) may be duplicated genes.","F-box/RNI-like superfamily protein","SKP2A",13.041,1.001,18.767,0.442,14.058,1.14,10.171,0.372,14.826,0.854,14.528,0.276
"22","AT1G22440","AT1G22440","",2822,"Chr1",7922276,7925097,"Zinc-binding alcohol dehydrogenase family protein;(source:Araport11)","","Zinc-binding alcohol dehydrogenase family protein","",0.035,0.01,0.744,0.143,0.124,0.033,0.05,0.008,0.661,0.051,0.04,0.027
"23","AT1G23040","AT1G23040","",1935,"Chr1",8164782,8166716,"hydroxyproline-rich glycoprotein family protein;(source:Araport11)","","hydroxyproline-rich glycoprotein family protein","",2.407,0.387,4.291,0.592,3.506,0.456,2.586,0.257,4.831,0.559,3.496,0.453
"24","AT1G23760","JP630","",2494,"Chr1",8401808,8404301,"BURP domain-containing protein;(source:Araport11)","Encodes aromatic rich glycoprotein JP630.","BURP domain-containing protein","JP630, PG3",0.098,0.039,0.301,0.028,0.005,0.005,0.027,0.013,0.315,0.032,0.068,0.008
"25","AT1G24430","AT1G24430","",1512,"Chr1",8658003,8659514,"HXXXD-type acyl-transferase family protein;(source:Araport11)","","HXXXD-type acyl-transferase family protein","",0.025,0.015,0.19,0.017,0.078,0.041,0.011,0.011,0.296,0.024,0.01,0.01
"26","AT1G28130","GH3.17","",2950,"Chr1",9825169,9828118,"Auxin-responsive GH3 family protein;(source:Araport11)","Encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin.","Auxin-responsive GH3 family protein","GH3.17, VAS2",4.488,0.141,10.538,0.824,4.59,0.483,3.248,0.657,10.68,0.657,5.856,0.123
"27","AT1G28650","AT1G28650","",1744,"Chr1",10069365,10071108,"GDSL-like Lipase/Acylhydrolase superfamily protein;(source:Araport11)","GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.","GDSL-like Lipase/Acylhydrolase superfamily protein","",0,0,0.141,0.036,0,0,0,0,0.224,0.016,0,0
"28","AT1G29280","WRKY65","WRKY DNA-binding protein 65",1654,"Chr1",10236337,10237990,"WRKY DNA-binding protein 65;(source:Araport11)","member of WRKY Transcription Factor; Group II-e The mRNA is cell-to-cell mobile.","WRKY DNA-binding protein 65","ATWRKY65, WRKY65",0.296,0.035,0.784,0.1,0.407,0.052,0.33,0.032,1.285,0.056,0.473,0.065
"29","AT1G30190","AT1G30190","",1175,"Chr1",10618893,10620067,"cotton fiber protein;(source:Araport11)","","","",0.567,0.126,3.176,0.159,0.991,0.151,0.353,0.033,1.926,0.511,0.674,0.135
"30","AT1G31320","LBD4","LOB domain-containing protein 4",1610,"Chr1",11212958,11214567,"LOB domain-containing protein 4;(source:Araport11)","","LOB domain-containing protein 4","LBD4",3.723,0.163,5.417,0.105,2.881,0.281,3.627,0.105,6.855,0.183,4.743,0.067
"31","AT1G33790","AT1G33790","",4165,"Chr1",12256474,12260638,"jacalin lectin family protein;(source:Araport11)","","jacalin lectin family protein","",1.258,0.164,2.083,0.091,1.644,0.167,1.045,0.064,2.479,0.117,1.435,0.073
"32","AT1G35250","AT1G35250","",2633,"Chr1",12932024,12934656,"Thioesterase superfamily protein;(source:Araport11)","","Thioesterase superfamily protein","ALT2",0.039,0.039,0.83,0.207,0.195,0.098,0.045,0.023,0.917,0.077,0.143,0.078
"33","AT1G35720","ANNAT1","annexin 1",2072,"Chr1",13225168,13227239,"annexin 1;(source:Araport11)","Encodes a member of the annexin gene family, a diverse, multigene family of calcium-dependent, membrane-binding proteins. The protein was determined to have peroxidase activity. This activity is thought to be dependent on the presence of post-translational modifications (most likely phosphorylation). The protein was shown to be present as a mixture of monomer and homodimer. The homodimerization seems to be dependent on the presence of Ca2+ or H2O2. The dimerization was prevented by the addition of DTT, &#946;-mercaptoethanol and TCEP. Annat1 mRNA is expressed in flowers, roots,leaves and stems and is most abundant in stems. mRNA levels are increased in response to oxidative stress.  Developmental expression patterns suggest a role in Golgi-mediated polysaccharide secretion. It is a Ca  2+-permeable transporter providing a molecular link between reactive oxygen species and cytosolic Ca 2+ in plants. The mRNA is cell-to-cell mobile.","annexin 1","ANN1, ANNAT1, AtANN1, ATOXY5, OXY5",102.402,11.376,165.784,11.341,99.304,8.983,111.211,12.705,159.72,2.645,83.03,5.668
"34","AT1G46480","WOX4","WUSCHEL related homeobox 4",1662,"Chr1",17236524,17238185,"WUSCHEL related homeobox 4;(source:Araport11)","Encodes WOX4, a WUSCHEL-related homeobox gene family member with 65 amino acids in its homeodomain. Proteins in this family contain a sequence of eight residues (TLPLFPMH) downstream of the homeodomain called the WUS box. This protein also contains an acidic domain approximately 10 residues upstream of the WUS box. Part of the TDIF-TDR-WOX4 signaling pathway that plays a crucial role in the maintenance of the vascular meristem organization during secondary growth. WOX4 and WOX14 act downstream of the PXY receptor kinase to regulate plant vascular proliferation independently of any role in vascular organisation.","WUSCHEL related homeobox 4","WOX4",4.293,0.263,6.575,0.184,3.278,0.231,4.531,0.304,7.477,0.428,4.547,0.103
"35","AT1G47480","AT1G47480","",1951,"Chr1",17417492,17419442,"alpha/beta-Hydrolases superfamily protein;(source:Araport11)","","alpha/beta-Hydrolases superfamily protein","",0.756,0.112,1.508,0.021,1.091,0.053,0.634,0.042,2.025,0.117,1.139,0.066
"36","AT1G51170","UCN","UNICORN",1596,"Chr1",18953458,18955053,"Protein kinase superfamily protein;(source:Araport11)","Encodes an active AGC VIII protein kinase that interacts with the putative transcription factor ATS and regulates planar growth during integument development in the ovule.  Mutants exhibit ectopic growth in filaments and petals, as well as aberrant embryogenesis.","Protein kinase superfamily protein","AGC2-3, UCN",7.671,0.312,10.482,0.795,6.179,0.262,7.61,0.278,11.238,0.423,6.869,0.125
"37","AT1G52100","AT1G52100","",2525,"Chr1",19383078,19385602,"Mannose-binding lectin superfamily protein;(source:Araport11)","","Mannose-binding lectin superfamily protein","",2.667,0.291,6.049,0.541,2.689,0.55,0.937,0.283,2.316,0.257,1.891,0.438
"38","AT1G52560","AT1G52560","",1329,"Chr1",19574538,19575866,"HSP20-like chaperones superfamily protein;(source:Araport11)","","HSP20-like chaperones superfamily protein","",0.251,0.064,0.814,0.147,0.175,0.038,0.223,0.042,0.658,0.12,0.346,0.104
"39","AT1G53510","MPK18","mitogen-activated protein kinase 18",4060,"Chr1",19970334,19974393,"mitogen-activated protein kinase 18;(source:Araport11)","Member of MAP Kinase familly. Target of MPKKK20 phosphorylation. Mutant root growth is sensitive oryzalin and suggestive of a role in signaling during microtubule organization.","mitogen-activated protein kinase 18","ATMPK18, MPK18",27.963,0.466,34.671,0.233,31.303,0.873,28.989,1.095,35.649,0.576,26.535,0.969
"40","AT1G54660","AT1G54660","",3599,"Chr1",20408094,20411692,"pseudogene of terpene synthase 21;(source:Araport11)","Possibly not a pseudogene based on evidence for transcription (RNA-seq) and translation (Ribo-seq) described in PMID:27791167","","",0.208,0.015,0.55,0.044,0.215,0.03,0.193,0.062,0.588,0.023,0.312,0.049
"41","AT1G56600","GolS2","galactinol synthase 2",2099,"Chr1",21207537,21209635,"galactinol synthase 2;(source:Araport11)","GolS2 is a galactinol synthase that catalyzes the formation of galactinol from UDP-galactose and myo-inositol. GolS2 transcript levels rise in response to methyl viologen, an oxidative damage-inducing agent. Plants over-expressing GolS2 have increased tolerance to salt, chilling, and high-light stress.","galactinol synthase 2","AtGolS2, GolS2",1.936,0.554,11.47,1.51,0.524,0.22,2.613,0.682,10.204,1.427,3.24,0.084
"42","AT1G57590","AT1G57590","",2585,"Chr1",21327360,21329944,"Pectinacetylesterase family protein;(source:Araport11)","","Pectinacetylesterase family protein","AtPAE2, PAE2",1.332,0.152,5.11,0.453,2.064,0.204,0.6,0.108,1.787,0.131,1.461,0.167
"43","AT1G62510","AT1G62510","",889,"Chr1",23136366,23137254,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","",58.837,8.15,89.985,11.838,11.788,1.547,20.833,3.132,63.765,4.787,9.741,1.354
"44","AT1G62770","AT1G62770","",1115,"Chr1",23245835,23246949,"Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)","PMEI9 pectin methyleseterase inhibitor. Expressed in many plant tissues.","Plant invertase/pectin methylesterase inhibitor superfamily protein","PMEI9",0.705,0.201,2.439,0.486,0.403,0.187,0.392,0.03,4.194,0.607,0.544,0.082
"45","AT1G64710","AT1G64710","",1936,"Chr1",24044686,24046621,"GroES-like zinc-binding alcohol dehydrogenase family protein;(source:Araport11)","","GroES-like zinc-binding dehydrogenase family protein","",14.081,1.336,19.794,1.251,14.296,1.135,16.212,0.35,22.621,2.344,16.259,1.225
"46","AT1G65920","AT1G65920","",4261,"Chr1",24525102,24529362,"Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein;(source:Araport11)","","Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain","",4.164,0.162,5.602,0.424,3.509,0.081,4.34,0.082,6.319,0.626,4.211,0.114
"47","AT1G66270","BGLU21","",3299,"Chr1",24699868,24703166,"Glycosyl hydrolase superfamily protein;(source:Araport11)","BGLU21 encodes a beta-glucosidase that has a high level of activity against the naturally occuring secondary metabolite scopolin. Recombinant BGLU21 produced in insect cells shows lower levels of activity using the structurally similar substrates esculin (33%) and 4-MU-glucoside (9%).    BGLU21 is glycosylated in planta and has a C-terminal ER retention signal. Transcript analysis as well as protein extraction and western blotting from various plant organs suggest that BGLU21 is only present in roots and seedlings. Transcript levels increase in response to cold, auxin (2,4-D), and methyl jasmonate treatments.","Glycosyl hydrolase superfamily protein","BGLU21",0,0,0.236,0.158,0,0,0,0,0.312,0.179,0,0
"48","AT1G67030","ZFP6","zinc finger protein 6",1111,"Chr1",25016402,25017512,"zinc finger protein 6;(source:Araport11)","Encodes a novel C2H2 zinc finger protein containing only a single zinc finger which plays a key role in regulating trichome development by integrating GA and cytokinin signaling. The mRNA is cell-to-cell mobile.","zinc finger protein 6","ZFP6",0.133,0.028,0.616,0.134,0.192,0.054,0.073,0.073,1.322,0.135,0.375,0.092
"49","AT1G69160","AT1G69160","",1778,"Chr1",25999837,26001614,"suppressor;(source:Araport11)","","","BGL1",32.57,2.26,45.762,2.311,21.135,2.472,28.352,2.851,49.018,5.622,39.274,2.376
"50","AT1G69260","AFP1","ABI five binding protein",1816,"Chr1",26038905,26040720,"ABI five binding protein;(source:Araport11)","","ABI five binding protein","AFP1",2.993,0.667,8.58,0.903,1.015,0.103,1.589,0.546,3.968,0.207,1.88,0.261
"51","AT1G71960","ABCG25","ATP-binding casette G25",5855,"Chr1",27082394,27088248,"ATP-binding casette family G25;(source:Araport11)","Encodes a plasma membrane localized ABC transporter involved in abscisic acid transport and responses.","ATP-binding casette family G25","ABCG25, ATABCG25",4.386,0.243,6.495,0.72,4.073,0.362,4.931,0.382,7.019,0.161,4.125,0.179
"52","AT1G72140","AT1G72140","",2726,"Chr1",27141765,27144490,"Major facilitator superfamily protein;(source:Araport11)","Tonoplast localized pH dependent, low affinity nitrogen transporter.In shoots,  expressed in leaf veins and mesophyll. In roots, GUS activity was detected in root vascular stele. More highly expressed in roots.","Major facilitator superfamily protein","NPF5.12",0.83,0.201,4.174,0.574,0.674,0.111,0.284,0.082,2.573,0.347,0.805,0.078
"53","AT1G72230","AT1G72230","",1323,"Chr1",27188036,27189358,"Cupredoxin superfamily protein;(source:Araport11)","","Cupredoxin superfamily protein","",10.756,0.769,14.47,1.511,4.42,0.253,13.397,0.569,27.996,1.161,10.624,0.424
"54","AT1G72770","HAB1","HYPERSENSITIVE TO ABA1",3380,"Chr1",27389948,27393327,"HYPERSENSITIVE TO ABA1;(source:Araport11)","mutant has ABA hypersensitive inhibition of seed germination; Protein Phosphatase 2C; regulates the activation of the Snf1-related kinase OST1 by abscisic acid. The mRNA is cell-to-cell mobile.","HYPERSENSITIVE TO ABA1","AtHAB1, HAB1",20.241,1.064,27.067,0.555,19.323,0.338,18.866,1.164,25.73,0.443,23.718,0.84
"55","AT1G73330","DR4","drought-repressed 4",1110,"Chr1",27568714,27569823,"drought-repressed 4;(source:Araport11)","encodes a plant-specific protease inhibitor-like protein whose transcript level in root disappears in response to progressive drought stress. The decrease in transcript level is independent from abscisic acid level.","drought-repressed 4","ATDR4, DR4",6.974,0.394,34.735,3.364,8.006,2.227,2.959,0.066,12.573,0.812,4.223,0.329
"56","AT1G73390","AT1G73390","",4943,"Chr1",27590810,27595752,"Endosomal targeting BRO1-like domain-containing protein;(source:Araport11)","","Endosomal targeting BRO1-like domain-containing protein","",25.038,0.835,33.304,1.527,19.165,0.748,22.703,2.232,29.657,1.366,24.948,2.204
"57","AT1G75280","AT1G75280","",2061,"Chr1",28251626,28253686,"NmrA-like negative transcriptional regulator family protein;(source:Araport11)","isoflavone reductase, putative, identical to SP:P52577 Isoflavone reductase homolog P3 (EC 1.3.1.-) {Arabidopsis thaliana}; contains Pfam profile PF02716: isoflavone reductase. Involved in response to oxidative stress. The mRNA is cell-to-cell mobile.","NmrA-like negative transcriptional regulator family protein","",94.137,4.707,137.615,6.071,114.023,11.168,88.913,3.431,114.118,6.156,110.036,3.64
"58","AT1G76570","AT1G76570","",1854,"Chr1",28728998,28730851,"Chlorophyll A-B binding family protein;(source:Araport11)","","Chlorophyll A-B binding family protein","AtLHCB7, LHCB7",15.755,0.548,20.475,1.054,15.294,0.546,12.661,0.085,16.869,0.838,12.919,0.537
"59","AT1G77280","AT1G77280","",3825,"Chr1",29030998,29034822,"kinase with adenine nucleotide alpha hydrolases-like domain-containing protein;(source:Araport11)","","Protein kinase protein with adenine nucleotide alpha hydrolases-like domain","",4.289,0.41,6.314,0.344,4.369,0.309,3.773,0.225,5.235,0.44,4.627,0.18
"60","AT1G77920","TGA7","TGACG sequence-specific binding protein 7",2703,"Chr1",29298243,29300945,"bZIP transcription factor family protein;(source:Araport11)","","bZIP transcription factor family protein","TGA7",5.581,0.198,8.993,0.716,7.347,0.862,5.757,0.189,9.268,0.537,6.75,0.455
"61","AT1G78440","ATGA2OX1","Arabidopsis thaliana gibberellin 2-oxidase 1",1540,"Chr1",29511561,29513100,"gibberellin 2-beta-dioxygenase;(source:Araport11)","Encodes a gibberellin 2-oxidase that acts on C19 gibberellins.","Arabidopsis thaliana gibberellin 2-oxidase 1","ATGA2OX1, GA2OX1",2.052,0.098,4.513,0.571,1.955,0.426,1.784,0.079,3.313,0.73,1.158,0.182
"62","AT1G78970","LUP1","lupeol synthase 1",5121,"Chr1",29703055,29708175,"lupeol synthase 1;(source:Araport11)","Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17&#946;-dammarenyl cation.","lupeol synthase 1","ATLUP1, LUP1",7.838,0.673,12.824,0.964,3.99,0.41,5.222,0.667,16.758,1.463,7.079,0.373
"63","AT1G79270","ECT8","evolutionarily conserved C-terminal region 8",4209,"Chr1",29815470,29819678,"evolutionarily conserved C-terminal region 8;(source:Araport11)","","evolutionarily conserved C-terminal region 8","ECT8",22.599,1.414,34.95,2.713,25.759,0.569,17.639,1.391,28.067,0.596,21.026,0.692
"64","AT1G79520","AT1G79520","",3587,"Chr1",29911381,29914967,"Cation efflux family protein;(source:Araport11)","","Cation efflux family protein","",18.097,1.691,25.836,1.829,14.875,0.348,11.941,0.884,19.816,2.466,15.89,1.306
"65","AT1G80760","NIP6;1","NOD26-like intrinsic protein 6;1",1670,"Chr1",30350539,30352208,"NOD26-like intrinsic protein 6;(source:Araport11)","Encodes a protein with boron transporter activity. It helps to preferentially direct boron to young developing tissues in the shoot, such as immature leaves, under low boron conditions. This boron channel appears to be impermeable to water, unlike the closely related NIP5;1 boron transporter. This protein also allows the transport of glycerol, urea, and formimide but not larger uncharged solutes such as arabitol and sucrose when it is expressed heterologously.","NOD26-like intrinsic protein 6;1","NIP6, NIP6;1, NLM7",18.552,0.662,24.146,1.468,10.863,0.509,23.278,0.606,38.355,3.244,18.413,0.691
"66","AT2G01520","MLP328","MLP-like protein 328",1329,"Chr2",235925,237253,"MLP-like protein 328;(source:Araport11)","Encodes a cis-cinnamic acid responsive gene that is a member of the major latex protein-like gene family and plays a role in promoting vegetative growth and delaying &#64258;owering. The mRNA is cell-to-cell mobile.","MLP-like protein 328","MLP328, ZCE1",0.281,0.114,5.116,1.438,0.122,0.04,0.338,0.019,3.323,0.331,0.196,0.084
"67","AT2G03200","AT2G03200","",1659,"Chr2",966390,968048,"Eukaryotic aspartyl protease family protein;(source:Araport11)","Atypical aspartic protease which modulates lateral root development.","Eukaryotic aspartyl protease family protein","ASPR1",0.497,0.092,1.22,0.034,0.468,0.068,0.578,0.125,1.283,0.087,0.66,0.058
"68","AT2G03740","AT2G03740","",1264,"Chr2",1142725,1143988,"late embryogenesis abundant domain-containing protein / LEA domain-containing protein;(source:Araport11)","","late embryogenesis abundant domain-containing protein / LEA domain-containing protein","LEA11",0,0,0.191,0.084,0.018,0.018,0,0,0.193,0.041,0.016,0.016
"69","AT2G04110","AT2G04110","",896,"Chr2",1382592,1383487,"pseudogene of expressed protein;(source:Araport11)","","","",14.022,1.119,21.098,1.285,9.405,0.305,15.659,0.226,19.614,0.346,17.915,0.995
"70","AT2G05440","GRP9","GLYCINE RICH PROTEIN 9",1140,"Chr2",1993038,1994177,"GLYCINE RICH PROTEIN 9;(source:Araport11)","","GLYCINE RICH PROTEIN 9","ATGRP9, GRP9",1.012,0.675,13.352,4.883,1.674,0.619,0,0,0.409,0.003,0.024,0.024
"71","AT2G14960","GH3.1","",2479,"Chr2",6451319,6453797,"Auxin-responsive GH3 family protein;(source:Araport11)","encodes a protein similar to IAA-amido synthases. Lines carrying an insertion in this gene are hypersensitive to auxin.","Auxin-responsive GH3 family protein","GH3.1",0.088,0.007,0.836,0.042,0.098,0.019,0.093,0.026,0.671,0.056,0.029,0.019
"72","AT2G15320","AT2G15320","",1761,"Chr2",6666286,6668046,"Leucine-rich repeat (LRR) family protein;(source:Araport11)","","Leucine-rich repeat (LRR) family protein","",9.133,0.971,12.711,0.845,10.511,0.254,11.022,0.69,14.657,1.09,10.529,0.073
"73","AT2G18120","SRS4","SHI-related sequence 4",1529,"Chr2",7876544,7878072,"SHI-related sequence 4;(source:Araport11)","A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis.","SHI-related sequence 4","SRS4",1.709,0.383,3.435,0.546,2.218,0.184,1.2,0.107,2.775,0.368,1.701,0.182
